index,   freq_ppm,   decay_hz, amplitude
   1,     9.4780,     14.700,    8.675874e-02
   2,     9.4658,     14.266,    8.059648e-02
   3,     9.4568,     12.624,    1.239035e-02
   4,     9.4463,     13.812,    7.236997e-02
   5,     9.4385,      5.168,    3.938147e-02
   6,     9.4260,     14.700,    1.012535e-01
   7,     9.4144,     14.700,    4.177505e-02
   8,     9.4030,      8.562,    3.254496e-02
   9,     9.3893,     14.700,    9.149991e-02
  10,     9.3747,     14.700,    8.224414e-02
  11,     9.3526,     14.700,    7.548641e-02
  12,     9.3309,     14.399,    8.072972e-02
  13,     9.3215,     13.761,    6.950505e-02
  14,     9.3042,     14.700,    7.126513e-02
  15,     9.2961,     14.700,    5.480450e-02
  16,     9.2788,     14.700,    8.142053e-02
  17,     9.2585,     14.700,    7.774734e-02
  18,     9.2399,     14.700,    7.818387e-02
  19,     9.1968,     14.700,    1.589439e-01
  20,     9.1718,     14.700,    9.733075e-02
  21,     9.1554,     14.700,    9.498637e-02
  22,     9.1235,     14.700,    7.520437e-02
  23,     9.1081,     14.700,    8.752150e-02
  24,     9.0878,     14.700,    1.252704e-01
  25,     9.0573,     14.700,    1.039290e-01
  26,     9.0363,     14.700,    1.100821e-01
  27,     9.0231,     14.700,    7.639626e-02
  28,     9.0141,      9.010,    4.435439e-02
  29,     9.0025,      6.530,    2.827686e-02
  30,     8.9926,     14.700,    1.077150e-01
  31,     8.9784,     14.607,    1.098982e-01
  32,     8.9656,     14.342,    9.762061e-02
  33,     8.9466,     14.700,    7.838758e-02
  34,     8.9355,     14.487,    1.154696e-01
  35,     8.9217,     14.700,    7.205777e-02
  36,     8.9054,      8.626,    3.411265e-02
  37,     8.8935,      8.210,    3.875619e-02
  38,     8.8885,     12.761,    8.747920e-02
  39,     8.8717,      7.909,    4.269687e-02
  40,     8.8612,     14.576,    1.063487e-01
  41,     8.8461,     14.643,    1.331852e-01
  42,     8.8275,     14.700,    5.925450e-02
  43,     8.8161,      6.372,    2.904962e-02
  44,     8.8083,     14.700,    2.720801e-01
  45,     8.7956,     14.700,    1.284889e-01
  46,     8.7609,     14.700,    1.161081e-01
  47,     8.7435,     14.700,    9.216239e-02
  48,     8.7269,     14.700,    9.200981e-02
  49,     8.7035,     14.700,    1.141008e-01
  50,     8.6864,     14.700,    1.286586e-01
  51,     8.6317,      2.198,    8.784825e-02
  52,     8.6289,      7.605,    2.466899e+00
  53,     8.6269,      5.739,    3.328638e+00
  54,     8.6249,      6.861,    4.470571e+00
  55,     8.6230,      8.469,    1.595459e+00
  56,     8.6186,     10.650,    3.372621e-01
  57,     8.5527,     14.440,    8.676166e-02
  58,     8.5375,     14.700,    1.357248e-01
  59,     8.5248,     14.700,    7.757654e-02
  60,     8.5110,     14.700,    8.960200e-02
  61,     8.4606,     13.556,    5.540208e-02
  62,     8.4393,     14.700,    2.264222e-01
  63,     8.4237,     12.787,    1.920573e-01
  64,     8.4002,     12.930,    4.370541e-02
  65,     8.3928,     14.505,    5.367257e-02
  66,     8.3774,      7.617,    4.520684e-02
  67,     8.3469,      9.049,    3.089523e+00
  68,     8.3361,      8.660,    5.657823e-02
  69,     8.3281,     13.946,    1.039777e-01
  70,     8.3174,     13.719,    5.954014e-02
  71,     8.2987,     10.806,    3.467540e-02
  72,     8.2852,     11.757,    6.082176e-02
  73,     8.2665,      9.113,    1.590950e+00
  74,     8.2533,     14.700,    5.329438e-02
  75,     8.2393,     14.700,    5.173513e-02
  76,     8.2225,     14.700,    8.156376e-02
  77,     8.2043,     10.734,    1.389890e+00
  78,     8.1779,     10.210,    1.335114e+00
  79,     8.1655,     14.700,    1.231841e-01
  80,     8.1474,     14.700,    8.882923e-02
  81,     8.1299,     14.578,    1.077438e-01
  82,     8.1097,     14.451,    6.742489e-02
  83,     8.0831,      6.726,    4.362748e-02
  84,     8.0732,     14.700,    7.289152e-02
  85,     8.0621,     14.700,    5.946385e-02
  86,     8.0464,     14.700,    6.032353e-02
  87,     8.0267,     14.700,    1.074926e-01
  88,     8.0145,     14.700,    7.308282e-02
  89,     7.9989,     14.700,    1.099499e-01
  90,     7.9862,     11.046,    3.436492e-02
  91,     7.9620,     14.700,    2.597329e-01
  92,     7.9483,     14.700,    2.384002e-01
  93,     7.9264,     14.700,    1.416106e-01
  94,     7.9150,     12.678,    7.449124e-02
  95,     7.9036,      8.409,    4.677391e-02
  96,     7.8950,     10.076,    4.058607e-02
  97,     7.8755,     12.490,    5.713321e-02
  98,     7.8713,      4.691,    1.625906e-02
  99,     7.8658,      6.045,    5.660039e-02
 100,     7.8326,      6.949,    2.520097e+00
 101,     7.8303,      5.256,    4.799521e+00
 102,     7.8284,      5.600,    5.773524e+00
 103,     7.8263,      8.686,    6.834602e+00
 104,     7.8190,     10.088,    5.321517e+00
 105,     7.8164,      7.926,    1.062721e+01
 106,     7.8139,      8.331,    8.166320e+00
 107,     7.7358,      7.471,    6.740683e-01
 108,     7.7338,      6.449,    1.071512e+00
 109,     7.7319,      7.908,    1.205242e+00
 110,     7.7227,      8.935,    7.591292e-01
 111,     7.7209,      6.290,    1.151323e+00
 112,     7.7191,      5.417,    7.899254e-01
 113,     7.7174,      7.390,    4.798203e-01
 114,     7.6925,      4.334,    2.377369e-02
 115,     7.6909,      9.826,    4.144750e-02
 116,     7.6850,     11.452,    1.166217e-01
 117,     7.6786,     14.700,    3.090515e-01
 118,     7.6388,      8.967,    1.784308e+00
 119,     7.6362,     10.133,    2.145543e+00
 120,     7.6252,     11.693,    1.071769e+01
 121,     7.6129,     10.550,    6.572332e+00
 122,     7.5513,     11.053,    1.661959e+01
 123,     7.5406,      9.851,    1.060031e+01
 124,     7.5384,      7.530,    1.121834e+01
 125,     7.5361,      8.438,    6.169659e+00
 126,     7.5257,     13.673,    1.734683e+01
 127,     7.5132,      5.677,    8.504812e-01
 128,     7.4893,     14.700,    1.482958e-01
 129,     7.4724,      9.278,    4.568262e-02
