index,   freq_ppm,   decay_hz, amplitude
   1,     9.4490,     14.609,    1.014132e-01
   2,     9.4612,     14.700,    9.060021e-02
   3,     9.4710,      3.455,    2.318018e-02
   4,     9.4769,     14.700,    6.091065e-02
   5,     9.4851,     14.700,    1.582239e-01
   6,     9.3791,     14.609,    1.431476e-01
   7,     9.3901,     13.906,    7.497655e-02
   8,     9.4009,     14.700,    1.297123e-01
   9,     9.4135,     14.143,    1.203057e-01
  10,     9.4260,     14.700,    1.216127e-01
  11,     9.4373,      6.843,    3.469585e-02
  12,     9.3013,     14.700,    8.569009e-02
  13,     9.3133,     14.700,    5.595176e-02
  14,     9.3233,     12.182,    6.272875e-02
  15,     9.3419,     14.700,    9.991344e-02
  16,     9.3663,     14.700,    1.187386e-01
  17,     9.2767,      5.593,    3.278903e-02
  18,     9.2857,      6.389,    3.509326e-02
  19,     9.2903,      8.055,    4.624635e-02
  20,     9.2294,      6.017,    3.050350e-02
  21,     9.2394,     11.669,    5.832120e-02
  22,     9.2537,     14.700,    1.570740e-01
  23,     9.2655,     14.700,    1.117308e-01
  24,     9.2702,      3.393,    5.150569e-03
  25,     9.1119,     14.700,    7.476308e-02
  26,     9.1256,     11.205,    9.207375e-02
  27,     9.1402,     14.700,    1.546399e-01
  28,     9.1597,     14.700,    9.682613e-02
  29,     9.1745,     14.700,    1.079369e-01
  30,     9.1968,     14.700,    1.722191e-01
  31,     9.2211,     14.700,    9.588630e-02
  32,     9.0517,     13.612,    1.103241e-01
  33,     9.0654,     14.700,    6.745835e-02
  34,     9.0818,     14.700,    8.510758e-02
  35,     9.0983,     13.145,    4.239423e-02
  36,     9.1039,      4.559,    2.455482e-02
  37,     9.0032,     14.700,    1.300576e-01
  38,     9.0112,     11.726,    3.943771e-02
  39,     9.0273,      5.926,    3.835030e-02
  40,     9.0338,      6.992,    7.826180e-03
  41,     9.0432,      9.724,    4.897279e-02
  42,     8.9319,     12.162,    8.373665e-02
  43,     8.9469,     14.700,    1.080113e-01
  44,     8.9575,     14.673,    7.501401e-02
  45,     8.9758,     14.700,    1.016465e-01
  46,     8.9860,     13.871,    5.119369e-02
  47,     8.8490,     12.751,    6.386688e-02
  48,     8.8593,     14.700,    9.740607e-02
  49,     8.8722,     14.700,    1.092040e-01
  50,     8.8842,     14.700,    1.009928e-01
  51,     8.9075,     14.700,    6.185967e-02
  52,     8.9229,     10.308,    7.291221e-02
  53,     8.7704,     13.425,    1.021992e-01
  54,     8.7816,     14.700,    5.599504e-02
  55,     8.7976,     14.700,    2.883312e-01
  56,     8.8151,     14.700,    7.814285e-02
  57,     8.8249,     14.700,    1.027530e-01
  58,     8.6596,     14.700,    1.285345e-01
  59,     8.6901,     14.700,    7.555689e-02
  60,     8.7032,     14.386,    5.421543e-02
  61,     8.7174,     14.700,    8.001956e-02
  62,     8.7349,     14.700,    8.428562e-02
  63,     8.7578,     14.620,    7.545423e-02
  64,     8.6132,      8.184,    3.926171e+00
  65,     8.6148,      5.812,    4.336975e+00
  66,     8.6165,      5.613,    4.237751e+00
  67,     8.6183,      7.345,    2.683300e+00
  68,     8.6501,     13.112,    5.200762e-02
  69,     8.5235,     14.700,    9.655571e-02
  70,     8.5384,     14.700,    1.049903e-01
  71,     8.5497,     13.401,    3.997601e-02
  72,     8.5661,     13.992,    5.144463e-02
  73,     8.5783,     14.700,    9.539667e-02
  74,     8.4630,     10.219,    3.387748e-02
  75,     8.4759,     14.700,    5.894901e-02
  76,     8.4902,     12.205,    4.135944e-02
  77,     8.5017,     13.060,    6.495782e-02
  78,     8.5129,     14.700,    1.053533e-01
  79,     8.3979,     13.715,    6.009617e-02
  80,     8.4073,      7.165,    6.428996e-02
  81,     8.4285,     12.052,    4.717265e-01
  82,     8.4424,     12.470,    8.689959e-02
  83,     8.3131,     14.700,    8.737721e-02
  84,     8.3222,      7.448,    4.301641e-02
  85,     8.3428,      6.967,    1.794058e+00
  86,     8.3443,      7.470,    1.610129e+00
  87,     8.3665,     14.298,    9.174045e-02
  88,     8.3805,     14.700,    7.954475e-02
  89,     8.2818,     13.229,    6.869899e-02
  90,     8.2907,      1.457,    7.672404e-03
  91,     8.2954,      9.953,    4.192394e-02
  92,     8.3062,      2.182,    1.432949e-02
  93,     8.2037,      9.747,    1.448824e+00
  94,     8.2324,     11.675,    3.804379e-02
  95,     8.2417,     11.399,    4.420275e-02
  96,     8.2634,      8.044,    1.740125e+00
  97,     8.2756,      7.944,    1.977389e-02
  98,     8.0717,     14.700,    8.931485e-02
  99,     8.0880,     14.700,    8.214145e-02
 100,     8.1076,     14.395,    7.184567e-02
 101,     8.1484,     14.700,    9.577419e-02
 102,     8.1777,      9.235,    1.442379e+00
 103,     8.0008,     11.043,    1.002649e-01
 104,     8.0075,      6.931,    3.546868e-02
 105,     8.0157,     12.915,    8.383577e-02
 106,     8.0249,     14.700,    8.964717e-02
 107,     8.0365,     14.700,    1.098351e-01
 108,     8.0480,     14.700,    5.131161e-02
 109,     7.9250,     14.700,    7.983169e-02
 110,     7.9474,     14.700,    3.066147e-01
 111,     7.9607,     14.700,    3.086633e-01
 112,     7.9673,      5.619,    2.513642e-02
 113,     7.9935,     10.827,    6.802604e-02
 114,     7.8766,      7.408,    7.992477e-02
 115,     7.8902,     14.298,    8.972634e-02
 116,     7.9039,      8.774,    4.403059e-02
 117,     7.9096,     12.328,    6.587902e-02
 118,     7.8136,      6.635,    7.278504e+00
 119,     7.8159,      6.290,    8.978944e+00
 120,     7.8180,      8.490,    7.809829e+00
 121,     7.8265,      8.330,    7.861488e+00
 122,     7.8286,      6.235,    7.607009e+00
 123,     7.8306,      7.232,    6.529022e+00
 124,     7.7562,     11.185,    1.122564e-01
 125,     7.7699,     10.215,    5.510195e-02
 126,     7.7798,     12.674,    6.951603e-02
 127,     7.6742,     14.700,    3.597721e-01
 128,     7.6831,     14.700,    2.144026e-01
 129,     7.7190,      7.249,    1.671144e+00
 130,     7.7213,      7.320,    1.723021e+00
 131,     7.7322,      7.134,    1.487864e+00
 132,     7.7345,      7.459,    1.691813e+00
 133,     7.6226,      8.420,    3.347036e+00
 134,     7.6247,      6.389,    4.340349e+00
 135,     7.6269,      7.692,    2.868930e+00
 136,     7.6360,      7.684,    1.886761e+00
 137,     7.6385,      6.918,    1.508111e+00
 138,     7.5497,      8.944,    7.960996e+00
 139,     7.5520,      7.815,    8.996083e+00
 140,     7.6125,     10.273,    7.548727e+00
 141,     7.5254,     12.509,    1.758994e+01
 142,     7.5356,      5.967,    4.268497e+00
 143,     7.5377,      6.128,    9.784746e+00
 144,     7.5398,      8.789,    1.480825e+01
 145,     7.4676,     11.209,    1.198555e-01
 146,     7.4743,      3.187,    1.696970e-02
 147,     7.4862,      5.292,    5.527761e-02
 148,     7.4895,      6.238,    5.577855e-02
 149,     7.4147,      8.060,    9.254972e-01
 150,     7.4166,      5.894,    1.621840e+00
 151,     7.4185,      5.497,    2.037750e+00
 152,     7.4205,      7.519,    1.495224e+00
 153,     7.4304,     11.471,    2.420234e+00
 154,     7.3667,      8.298,    8.657028e+00
 155,     7.3693,      9.358,    1.170385e+01
 156,     7.3784,      7.137,    1.287662e+00
 157,     7.4047,      6.897,    2.153483e+00
 158,     7.4072,      7.797,    2.100709e+00
 159,     7.2870,      6.744,    1.047951e+00
 160,     7.3072,      6.330,    2.445100e+00
 161,     7.3099,      7.341,    2.666415e+00
 162,     7.3130,     10.087,    4.512192e+00
 163,     7.3237,      8.919,    4.717277e+00
 164,     7.3265,      6.761,    2.397125e+00
 165,     7.2607,      6.644,    7.937692e-01
 166,     7.2629,      7.150,    9.814366e-01
 167,     7.2727,      6.995,    9.518604e-01
 168,     7.2747,      6.352,    1.231105e+00
 169,     7.2766,      8.037,    1.246861e+00
 170,     7.1759,      0.000,    2.033895e-02
 171,     7.1777,      4.944,    5.190350e-01
 172,     7.1799,      6.435,    8.078772e-01
 173,     7.1900,      7.211,    1.439110e+00
 174,     7.1922,      8.537,    2.206753e+00
 175,     7.2029,      7.551,    1.278280e+00
 176,     7.2050,      6.146,    7.747512e-01
 177,     7.1010,     14.385,    9.442873e-02
 178,     7.1260,     14.700,    1.007471e-01
 179,     7.1352,     14.700,    7.219192e-02
 180,     7.1540,     14.700,    1.756600e-01
 181,     7.1633,      8.315,    5.999053e-02
 182,     7.0761,      4.838,    2.891260e-02
 183,     7.0842,      3.767,    2.709563e-02
 184,     7.0902,      6.873,    4.110966e-02
 185,     6.9736,     14.700,    1.548100e-01
 186,     6.9974,     14.700,    1.484384e-01
 187,     7.0109,     14.700,    1.172835e-01
 188,     7.0330,     14.700,    1.480874e-01
 189,     7.0489,     14.700,    1.461214e-01
 190,     7.0606,     14.700,    1.401118e-01
 191,     6.8644,     14.700,    1.442432e-01
 192,     6.8769,     14.700,    1.542521e-01
 193,     6.8889,     14.700,    1.261594e-01
 194,     6.9071,     14.700,    8.900072e-02
 195,     6.9297,     14.700,    1.579114e-01
 196,     6.9451,     14.700,    1.511136e-01
 197,     6.9606,     14.700,    1.245499e-01
 198,     6.8033,     14.700,    8.321625e-02
 199,     6.8211,     11.528,    6.585293e-02
 200,     6.8296,      5.693,    3.400080e-02
 201,     6.8353,     10.731,    2.284944e-02
 202,     6.8408,     14.260,    4.991257e-02
 203,     6.8496,     14.700,    7.986110e-02
 204,     6.7430,     13.991,    5.266151e-02
 205,     6.7548,     12.794,    8.920880e-02
 206,     6.7713,     14.700,    1.145026e-01
 207,     6.7819,     12.072,    4.693341e-02
 208,     6.7919,     14.700,    3.995156e-02
 209,     6.8025,     14.700,    1.116427e-01
 210,     6.6266,     14.620,    9.879965e-02
 211,     6.6425,     14.700,    1.257491e-01
 212,     6.6575,     14.700,    9.529045e-02
 213,     6.6726,     14.700,    9.559817e-02
 214,     6.6926,     14.386,    5.236431e-02
 215,     6.7047,     14.700,    1.285938e-01
 216,     6.7293,     14.700,    1.186788e-01
 217,     6.5657,     14.700,    8.174942e-02
 218,     6.5793,     14.700,    9.205164e-02
 219,     6.5877,     12.741,    4.413365e-02
 220,     6.5967,     14.700,    1.141580e-01
 221,     6.6036,      4.272,    2.280215e-02
 222,     6.6158,     14.700,    7.812899e-02
 223,     6.4951,     14.700,    7.252853e-02
 224,     6.5031,     14.700,    1.053949e-01
 225,     6.5127,     11.433,    9.518543e-02
 226,     6.5283,     14.700,    6.855925e-02
 227,     6.5390,     14.700,    1.031293e-01
 228,     6.5526,     14.700,    1.224532e-01
 229,     6.3888,     14.700,    1.087019e-01
 230,     6.4061,     14.700,    8.989686e-02
 231,     6.4198,     14.700,    1.267406e-01
 232,     6.4385,     14.700,    1.438681e-01
 233,     6.4526,     14.700,    1.020487e-01
 234,     6.4819,     14.700,    1.083082e-01
 235,     6.2910,     14.503,    5.468941e-02
 236,     6.3116,     14.700,    5.980411e-02
 237,     6.3207,     14.700,    9.551381e-02
 238,     6.3328,     10.468,    5.063656e-02
 239,     6.3488,     14.226,    7.831138e-02
 240,     6.3614,     14.700,    4.246061e-02
 241,     6.3693,     14.700,    9.983511e-02
 242,     6.2030,     14.700,    1.030002e-01
 243,     6.2119,     12.333,    7.495429e-02
 244,     6.2202,     13.956,    5.627342e-02
 245,     6.2366,      4.663,    3.386885e-02
 246,     6.2460,      9.194,    7.069171e-02
 247,     6.2671,     14.700,    8.717239e-02
 248,     6.1239,     14.700,    9.000165e-02
 249,     6.1322,     14.700,    7.182191e-02
 250,     6.1494,     14.700,    1.265131e-01
 251,     6.1678,     14.700,    1.004345e-01
 252,     6.1815,     14.700,    1.246030e-01
 253,     6.0774,      8.212,    1.235922e+00
 254,     6.0790,      7.280,    6.063308e-01
 255,     6.0942,     14.420,    6.500757e-02
 256,     6.1052,      9.464,    4.637204e-02
 257,     5.9780,     14.700,    1.472155e-01
 258,     5.9935,     14.700,    1.365662e-01
 259,     6.0677,      8.944,    1.917509e+00
 260,     5.9216,     14.082,    9.783708e-02
 261,     5.9248,      3.167,    1.212550e-02
 262,     5.9305,     14.420,    1.147700e-01
 263,     5.9377,     11.461,    3.290684e-02
 264,     5.9432,     14.700,    8.557343e-02
 265,     5.9595,     14.700,    1.072421e-01
 266,     5.8663,     10.614,    7.561271e-02
 267,     5.8747,      6.932,    5.895395e-02
 268,     5.8864,     12.610,    7.795738e-02
 269,     5.8956,     12.123,    9.050796e-02
 270,     5.9053,     13.911,    3.592242e-02
 271,     5.7968,      6.854,    8.988266e-01
 272,     5.7983,      7.119,    6.139559e-01
 273,     5.8214,     14.451,    6.578086e-02
 274,     5.8352,     14.700,    4.639387e-02
