index,   freq_ppm,   decay_hz, amplitude
   1,     9.4345,      8.095,    6.884269e-02
   2,     9.4440,      8.261,    4.979632e-02
   3,     9.4563,     10.535,    4.212705e-02
   4,     9.4692,      8.341,    4.101146e-02
   5,     9.4751,     11.982,    2.652197e-02
   6,     9.4817,      3.955,    1.347503e-02
   7,     9.3190,     14.700,    6.583639e-02
   8,     9.3449,     14.700,    8.789155e-02
   9,     9.3647,      9.587,    5.861524e-02
  10,     9.3774,     14.700,    6.498554e-02
  11,     9.3905,     14.700,    9.163802e-02
  12,     9.4099,     14.700,    7.574821e-02
  13,     9.2807,      0.000,    2.704296e-03
  14,     9.2841,     11.014,    7.764914e-02
  15,     9.2918,      3.933,    9.942236e-03
  16,     9.3017,     11.400,    6.248443e-02
  17,     9.3075,      4.881,    7.097944e-03
  18,     9.3182,     14.677,    8.051239e-02
  19,     9.2360,     11.489,    7.480437e-02
  20,     9.2512,     13.511,    9.286503e-02
  21,     9.2599,      2.707,    1.385230e-02
  22,     9.2675,     14.700,    6.213338e-02
  23,     9.2717,      3.735,    1.910427e-02
  24,     9.1815,     10.420,    6.121287e-02
  25,     9.1943,     13.777,    6.367598e-02
  26,     9.2137,     11.884,    9.341127e-02
  27,     9.2239,     14.700,    9.353609e-02
  28,     9.2285,      3.015,    5.259393e-03
  29,     9.0016,     14.700,    9.980654e-02
  30,     9.0258,     14.700,    1.108452e-01
  31,     9.0528,     14.700,    7.163481e-02
  32,     9.0788,     14.700,    8.185390e-02
  33,     9.0902,     14.700,    8.552247e-02
  34,     9.1227,     14.700,    6.579924e-02
  35,     9.1606,     14.700,    1.222475e-01
  36,     8.8468,     14.700,    8.235514e-02
  37,     8.8591,     14.700,    1.331935e-01
  38,     8.8881,     14.700,    1.053933e-01
  39,     8.9180,     14.700,    9.070368e-02
  40,     8.9361,     14.700,    9.207341e-02
  41,     8.9521,     14.700,    7.961512e-02
  42,     8.9795,     14.700,    1.081208e-01
  43,     8.8098,     14.700,    2.926256e-01
  44,     8.8190,      0.000,    3.076554e-03
  45,     8.8319,     10.223,    5.416586e-02
  46,     8.8366,      4.411,    1.642696e-02
  47,     8.8410,      7.197,    2.187793e-02
  48,     8.7175,     14.700,    9.457489e-02
  49,     8.7339,     13.103,    7.757150e-02
  50,     8.7525,     14.700,    9.152394e-02
  51,     8.7761,     14.700,    8.101232e-02
  52,     8.7872,     14.700,    5.190849e-02
  53,     8.6280,     10.488,    1.310667e+01
  54,     8.4810,     14.700,    3.947971e-02
  55,     8.4959,     14.700,    1.237707e-01
  56,     8.5127,     14.700,    1.022163e-01
  57,     8.5271,     14.700,    1.504273e-01
  58,     8.5416,     14.700,    1.703975e-01
  59,     8.5610,     14.700,    1.043184e-01
  60,     8.4232,      9.052,    2.201281e-01
  61,     8.4283,      5.535,    2.276689e-02
  62,     8.4350,     10.488,    4.109712e-02
  63,     8.4417,     14.700,    2.215354e-01
  64,     8.4505,     14.700,    4.349706e-02
  65,     8.4582,     14.700,    5.849357e-02
  66,     8.4684,      6.123,    2.242803e-02
  67,     8.3035,     14.700,    7.419741e-02
  68,     8.3471,      7.509,    2.269159e+00
  69,     8.3487,      6.871,    9.376495e-01
  70,     8.3801,     14.700,    8.092297e-02
  71,     8.3988,     14.700,    1.329725e-01
  72,     8.1177,     14.700,    8.264492e-02
  73,     8.1488,     14.700,    8.085851e-02
  74,     8.1777,      8.982,    1.654734e+00
  75,     8.2042,      9.499,    1.661743e+00
  76,     8.2294,     14.700,    5.372140e-02
  77,     8.2671,      8.343,    1.641229e+00
  78,     7.9618,     14.700,    3.083999e-01
  79,     8.0045,     14.700,    1.245071e-01
  80,     8.0244,     14.700,    1.438791e-01
  81,     8.0367,     14.700,    7.112289e-02
  82,     8.0507,     14.700,    7.447018e-02
  83,     8.0944,     14.700,    1.398794e-01
  84,     7.8765,     14.700,    1.751361e-01
  85,     7.8971,     14.700,    1.128671e-01
  86,     7.9167,     14.700,    8.521268e-02
  87,     7.9320,     14.700,    9.517293e-02
  88,     7.9478,     14.700,    2.900841e-01
  89,     7.8137,      6.894,    7.739727e+00
  90,     7.8161,      6.632,    1.022821e+01
  91,     7.8182,      8.973,    8.465140e+00
  92,     7.8265,      8.282,    9.235952e+00
  93,     7.8286,      4.838,    6.521333e+00
  94,     7.8304,      4.179,    4.528998e+00
  95,     7.8324,      5.722,    2.529310e+00
  96,     7.7572,     10.345,    1.270489e-01
  97,     7.7666,      5.373,    3.671332e-02
  98,     7.7838,     14.700,    9.564930e-02
  99,     7.6918,      6.429,    5.876004e-02
 100,     7.7183,      6.228,    9.689038e-01
 101,     7.7202,      5.616,    1.375459e+00
 102,     7.7221,      6.700,    1.205258e+00
 103,     7.7326,      7.944,    2.042941e+00
 104,     7.7349,      7.206,    1.510845e+00
 105,     7.6365,     10.043,    2.677091e+00
 106,     7.6389,      8.201,    1.778875e+00
 107,     7.6769,     14.700,    3.829526e-01
 108,     7.6871,     14.700,    2.532243e-01
 109,     7.5513,     10.337,    1.904894e+01
 110,     7.6129,      9.643,    7.259512e+00
 111,     7.6253,     10.724,    1.204434e+01
 112,     7.5256,     12.263,    1.756740e+01
 113,     7.5374,      8.820,    1.372006e+01
 114,     7.5397,      9.749,    1.957579e+01
 115,     7.4567,     10.019,    1.120103e-01
 116,     7.4864,      8.634,    4.858875e-02
 117,     7.4993,     14.700,    2.777755e-01
 118,     7.4159,      8.579,    2.166382e+00
 119,     7.4181,      6.908,    2.816398e+00
 120,     7.4202,      8.317,    2.030973e+00
 121,     7.4306,     10.892,    2.491530e+00
 122,     7.3666,     11.686,    2.857385e+00
 123,     7.3719,      9.144,    8.716545e+00
 124,     7.3745,      7.854,    6.435483e+00
 125,     7.3777,      8.044,    2.234644e+00
 126,     7.4060,     10.099,    5.191926e+00
