index,   freq_ppm,   decay_hz, amplitude
   1,     9.3598,     14.700,    7.471166e-02
   2,     9.3802,     14.700,    1.184244e-01
   3,     9.3923,     14.700,    6.081172e-02
   4,     9.4037,     14.700,    9.864312e-02
   5,     9.4201,     14.700,    9.349994e-02
   6,     9.4453,     14.700,    1.305760e-01
   7,     9.4569,     14.700,    1.017332e-01
   8,     9.2376,     14.700,    1.500767e-01
   9,     9.2588,     14.700,    1.699902e-01
  10,     9.2831,     14.700,    1.397447e-01
  11,     9.2953,     14.700,    1.242034e-01
  12,     9.3152,     14.700,    1.068580e-01
  13,     9.3299,     14.700,    1.192460e-01
  14,     9.3445,     14.700,    8.483894e-02
  15,     9.1329,     14.700,    1.402298e-01
  16,     9.1489,     14.700,    1.450448e-01
  17,     9.1732,     14.700,    8.985358e-02
  18,     9.1847,     14.700,    1.200467e-01
  19,     9.1953,     14.684,    1.014799e-01
  20,     9.2120,     14.700,    1.480368e-01
  21,     9.0373,     14.700,    1.331379e-01
  22,     9.0560,     14.700,    1.293868e-01
  23,     9.0693,     14.700,    1.155674e-01
  24,     9.0848,     13.906,    6.799838e-02
  25,     9.0961,     14.609,    8.896759e-02
  26,     9.1075,     14.700,    8.792434e-02
  27,     9.1199,     14.700,    1.512519e-01
  28,     9.0052,      7.820,    5.258017e-02
  29,     9.0118,      8.897,    5.992761e-02
  30,     9.0180,      7.641,    6.045846e-02
  31,     9.0240,      5.792,    3.666951e-02
  32,     8.9592,      4.613,    3.442066e-02
  33,     8.9700,      5.829,    3.858518e-02
  34,     8.9765,     12.980,    6.578711e-02
  35,     8.9866,     14.115,    7.578910e-02
  36,     8.9962,      6.600,    2.165652e-02
  37,     8.9322,      9.851,    7.248572e-02
  38,     8.9381,      3.825,    2.998051e-02
  39,     8.9488,      9.253,    5.872314e-02
  40,     8.8348,     14.700,    1.140899e-01
  41,     8.8450,     13.540,    9.376734e-02
  42,     8.8643,     12.741,    5.330595e-02
  43,     8.8733,     14.700,    6.537146e-02
  44,     8.8966,     14.700,    1.612378e-01
  45,     8.9123,     14.700,    9.734163e-02
  46,     8.9238,     14.700,    1.010652e-01
  47,     8.7705,      3.993,    2.056113e-02
  48,     8.7762,      8.247,    6.120244e-02
  49,     8.7835,     14.700,    6.710371e-02
  50,     8.7976,     14.700,    3.438141e-01
  51,     8.8139,     14.700,    9.101820e-02
  52,     8.7261,      6.857,    4.796402e-02
  53,     8.7328,     14.386,    6.200098e-02
  54,     8.7380,      6.142,    4.898627e-02
  55,     8.7479,     10.333,    9.413123e-02
  56,     8.7592,     14.700,    8.760583e-02
  57,     8.6632,     14.700,    1.080660e-01
  58,     8.6751,     14.700,    7.820863e-02
  59,     8.6923,     14.700,    8.344429e-02
  60,     8.7168,     13.701,    1.151793e-01
  61,     8.5756,      2.913,    2.463425e-02
  62,     8.6092,      2.238,    5.292776e-02
  63,     8.6125,      8.518,    2.583053e+00
  64,     8.6143,      5.648,    3.924173e+00
  65,     8.6160,      5.454,    4.119114e+00
  66,     8.6177,      6.877,    4.002540e+00
  67,     8.6208,      2.666,    1.825297e-02
  68,     8.4752,     14.700,    6.982738e-02
  69,     8.4965,     14.395,    5.797919e-02
  70,     8.5238,     14.700,    1.380617e-01
  71,     8.5359,      8.758,    6.601636e-02
  72,     8.5427,     14.700,    1.378172e-01
  73,     8.5521,     10.857,    4.045319e-02
  74,     8.3427,      7.796,    2.106841e+00
  75,     8.3442,      5.744,    1.197058e+00
  76,     8.3760,     14.700,    1.163479e-01
