index,   freq_ppm,   decay_hz, amplitude
   1,     9.4286,     14.700,    1.147758e-01
   2,     9.4464,     14.700,    1.108653e-01
   3,     9.4585,     13.713,    6.185380e-02
   4,     9.4665,     14.700,    4.079977e-02
   5,     9.4816,     12.762,    7.809278e-02
   6,     9.4902,     14.700,    1.158867e-01
   7,     9.3547,      9.415,    6.014932e-02
   8,     9.3646,     14.700,    9.286781e-02
   9,     9.3774,     14.700,    8.669248e-02
  10,     9.3906,     14.174,    4.571648e-02
  11,     9.4121,     14.700,    1.394806e-01
  12,     9.3093,     10.900,    6.105543e-02
  13,     9.3230,      8.328,    4.069445e-02
  14,     9.3285,     14.323,    1.022714e-01
  15,     9.3359,      8.359,    5.843000e-02
  16,     9.3433,     12.618,    9.262340e-02
  17,     9.2118,     14.700,    9.613470e-02
  18,     9.2248,     14.700,    1.202760e-01
  19,     9.2505,     14.700,    9.597150e-02
  20,     9.2640,     14.678,    5.772866e-02
  21,     9.2746,     14.700,    9.478272e-02
  22,     9.2894,     14.700,    1.043787e-01
  23,     9.2980,     14.700,    1.337020e-01
  24,     9.1643,     13.352,    4.425858e-02
  25,     9.1802,      8.889,    4.236418e-02
  26,     9.1881,     14.700,    8.758926e-02
  27,     9.1946,      5.299,    9.517544e-03
  28,     9.1981,     14.700,    1.086642e-01
  29,     9.1067,      6.566,    3.840897e-02
  30,     9.1199,     14.700,    9.651770e-02
  31,     9.1311,     13.906,    1.056766e-01
  32,     9.1418,     14.700,    1.222767e-01
  33,     9.1532,     14.700,    1.533077e-01
  34,     9.0074,     14.700,    1.601206e-01
  35,     9.0232,     14.700,    1.362008e-01
  36,     9.0417,     14.700,    1.091381e-01
  37,     9.0562,     14.700,    1.540226e-01
  38,     9.0763,     14.700,    1.456570e-01
  39,     9.0868,     14.700,    1.087681e-01
  40,     9.1032,     14.700,    1.208107e-01
  41,     8.9663,     13.133,    7.314537e-02
  42,     8.9745,     11.768,    6.417477e-02
  43,     8.9832,     10.616,    6.096451e-02
  44,     8.9949,      8.044,    6.810037e-02
  45,     9.0001,      3.292,    1.374542e-02
  46,     8.8519,     14.700,    7.897414e-02
  47,     8.8639,     14.700,    1.093408e-01
  48,     8.8846,     14.700,    5.235434e-02
  49,     8.8975,     14.700,    6.387594e-02
  50,     8.9276,     14.135,    1.017526e-01
  51,     8.9500,     14.700,    9.619571e-02
  52,     8.7516,     14.700,    5.621695e-02
  53,     8.7642,     14.700,    7.164742e-02
  54,     8.7792,     14.700,    3.690920e-02
  55,     8.7891,     14.700,    3.325002e-01
  56,     8.8202,     14.690,    6.749511e-02
  57,     8.8336,      6.395,    2.454061e-02
  58,     8.6404,     14.700,    1.599503e-01
  59,     8.6545,     14.700,    1.008465e-01
  60,     8.6753,     14.700,    7.511451e-02
  61,     8.7007,     14.451,    5.423998e-02
  62,     8.7141,     11.349,    6.245018e-02
  63,     8.7261,     14.700,    6.673806e-02
