index,   freq_ppm,   decay_hz, amplitude
   1,     9.4853,     14.700,    9.252609e-02
   2,     9.4695,     14.700,    1.075897e-01
   3,     9.4562,      8.477,    1.466705e-02
   4,     9.4475,     14.039,    1.183385e-01
   5,     9.4351,     10.063,    4.838984e-02
   6,     9.4300,      9.295,    4.546948e-02
   7,     9.4140,      9.078,    5.155848e-02
   8,     9.4004,      8.923,    4.345378e-02
   9,     9.3904,     14.700,    6.307087e-02
  10,     9.3775,      4.943,    2.345020e-02
  11,     9.3665,     13.534,    8.953170e-02
  12,     9.3630,      2.895,    6.228479e-03
  13,     9.3587,      2.324,    1.330195e-02
  14,     9.3521,      4.426,    2.947963e-02
  15,     9.3454,      5.256,    2.556707e-02
  16,     9.3290,     14.700,    1.208080e-01
  17,     9.3118,     14.700,    1.129284e-01
  18,     9.2941,     14.700,    8.691887e-02
  19,     9.2825,     14.700,    5.896013e-02
  20,     9.2671,     14.700,    1.024612e-01
  21,     9.2486,     14.700,    1.137118e-01
  22,     9.2352,      9.230,    3.295754e-02
  23,     9.2287,      9.095,    3.195270e-02
  24,     9.2138,     14.609,    9.163506e-02
  25,     9.1966,     14.700,    5.878003e-02
  26,     9.1819,     14.700,    8.583487e-02
  27,     9.1722,     13.855,    9.093226e-02
  28,     9.1577,      5.835,    2.669399e-02
  29,     9.1428,     14.700,    6.504153e-02
  30,     9.1343,     14.700,    7.458436e-02
  31,     9.1213,     14.700,    9.905446e-02
  32,     9.1025,     13.656,    5.426946e-02
  33,     9.0935,     14.700,    7.405098e-02
  34,     9.0772,     14.489,    9.793182e-02
  35,     9.0592,     14.700,    7.768390e-02
  36,     9.0420,     14.642,    6.699482e-02
  37,     9.0217,     14.700,    1.404560e-01
  38,     8.9943,     14.700,    1.523972e-01
  39,     8.9758,     14.700,    3.973155e-02
  40,     8.9637,     14.700,    1.171645e-01
  41,     8.9525,     14.700,    8.204696e-02
  42,     8.9378,     14.700,    7.770340e-02
  43,     8.9241,      8.036,    6.235601e-02
  44,     8.9179,      6.172,    3.393919e-02
  45,     8.9039,     14.700,    9.246588e-02
  46,     8.8893,     14.700,    1.020098e-01
  47,     8.8774,     10.411,    5.202914e-02
  48,     8.8651,     14.700,    1.198028e-01
  49,     8.8572,      7.447,    4.193909e-02
  50,     8.8502,      6.058,    2.153263e-02
  51,     8.8338,     10.822,    7.542109e-02
  52,     8.8205,      0.000,    2.004658e-03
  53,     8.8190,      7.680,    2.497354e-02
  54,     8.8130,     14.700,    7.560910e-02
  55,     8.8009,     14.700,    2.871321e-01
  56,     8.7932,      9.766,    4.818787e-02
  57,     8.7839,      6.216,    4.566626e-02
  58,     8.7784,      6.344,    2.582507e-02
  59,     8.7697,      7.746,    4.176565e-02
  60,     8.7610,      4.299,    1.817727e-02
  61,     8.7526,      6.625,    1.645296e-02
  62,     8.7452,     11.645,    6.940831e-02
  63,     8.7338,     12.668,    6.687494e-02
  64,     8.7209,      8.098,    9.882582e-03
  65,     8.7124,     14.296,    9.101817e-02
  66,     8.7044,      7.494,    4.348411e-02
  67,     8.6952,      8.001,    3.159473e-02
  68,     8.6854,     14.700,    6.035244e-02
  69,     8.6751,     14.700,    6.950224e-02
  70,     8.6641,     14.700,    9.381448e-02
  71,     8.6433,      8.243,    3.323824e-02
  72,     8.6218,      6.656,    1.577522e+00
  73,     8.6201,      5.095,    2.654536e+00
  74,     8.6184,      5.845,    2.990069e+00
  75,     8.6170,      8.808,    4.007463e+00
  76,     8.6125,      5.749,    8.826578e-02
  77,     8.5712,     13.237,    5.459114e-02
  78,     8.5635,      3.023,    1.900804e-02
  79,     8.5571,     13.465,    2.365878e-02
  80,     8.5396,     13.196,    8.892168e-02
  81,     8.5302,     14.700,    8.258023e-02
  82,     8.5221,     12.841,    6.947106e-02
  83,     8.5161,     10.570,    6.599790e-02
  84,     8.5070,      7.794,    6.170052e-02
  85,     8.4988,      9.848,    9.406222e-02
  86,     8.4844,     11.082,    2.719477e-02
  87,     8.4724,     14.700,    1.218691e-01
  88,     8.4545,     14.700,    8.151535e-02
  89,     8.4461,      4.377,    2.197964e-02
  90,     8.4324,     12.306,    2.600097e-01
  91,     8.4265,      9.267,    2.198070e-01
  92,     8.3982,     13.682,    7.299109e-02
  93,     8.3777,     14.700,    1.385267e-01
  94,     8.3616,      7.369,    3.490004e-02
  95,     8.3478,      0.005,    1.429166e-02
  96,     8.3453,      6.420,    1.390082e+00
  97,     8.3438,      7.288,    2.359468e+00
  98,     8.3354,      5.544,    3.262315e-02
  99,     8.3158,     14.700,    1.143427e-01
 100,     8.3025,     13.206,    4.358111e-02
 101,     8.2953,     14.444,    6.549249e-02
 102,     8.2655,      5.835,    4.473986e-01
 103,     8.2638,      7.180,    1.352575e+00
 104,     8.2470,     14.700,    6.942613e-02
 105,     8.2378,     14.700,    2.610908e-02
 106,     8.2234,      6.124,    3.129966e-02
 107,     8.2039,      9.318,    1.138095e+00
 108,     8.2002,      4.465,    1.063273e-02
 109,     8.1785,      7.224,    4.439346e-01
 110,     8.1771,      8.290,    6.527851e-01
 111,     8.1637,     14.700,    7.499278e-02
 112,     8.1480,     11.343,    8.631881e-02
 113,     8.1332,     14.700,    1.431561e-01
 114,     8.1238,     14.318,    7.486867e-02
 115,     8.1127,     14.700,    2.713805e-02
 116,     8.0922,     14.700,    1.370337e-01
 117,     8.0807,     14.700,    4.622174e-02
 118,     8.0778,      9.138,    1.922335e-02
 119,     8.0720,      4.284,    2.535179e-02
 120,     8.0626,     13.607,    9.366196e-02
 121,     8.0420,      9.804,    7.756384e-02
 122,     8.0342,     14.353,    1.031718e-01
 123,     8.0253,     11.990,    8.020509e-02
 124,     8.0145,     14.221,    6.811615e-02
 125,     8.0010,     14.700,    8.288728e-02
 126,     7.9828,     14.700,    1.468497e-01
 127,     7.9613,     14.700,    2.551296e-01
 128,     7.9481,     14.700,    2.798049e-01
 129,     7.9318,     14.700,    7.375633e-02
 130,     7.9121,     14.700,    1.054614e-01
 131,     7.9008,     14.700,    7.645402e-02
 132,     7.8286,     10.682,    2.334857e+01
 133,     7.8158,     11.126,    2.670666e+01
 134,     7.7775,      9.530,    8.803380e-02
 135,     7.7706,      5.356,    4.985922e-02
 136,     7.7573,      7.709,    9.986580e-02
 137,     7.7368,      0.000,    3.264353e-02
 138,     7.7347,      6.254,    1.061144e+00
 139,     7.7324,      7.839,    1.592961e+00
 140,     7.7213,      7.316,    1.445707e+00
 141,     7.7190,      7.460,    1.397436e+00
 142,     7.6936,      4.989,    6.805818e-02
 143,     7.6773,     14.700,    3.794690e-01
 144,     7.6372,     10.157,    3.827963e+00
 145,     7.6268,      7.695,    3.310124e+00
 146,     7.6247,      6.190,    4.159038e+00
 147,     7.6225,      8.831,    3.312799e+00
 148,     7.6126,     10.672,    7.951750e+00
 149,     7.5520,      7.863,    9.678472e+00
 150,     7.5497,      8.312,    7.138206e+00
 151,     7.5402,      8.157,    1.124782e+01
 152,     7.5381,      6.396,    1.093911e+01
 153,     7.5360,      7.303,    6.526248e+00
 154,     7.5256,     12.005,    1.692283e+01
 155,     7.5130,      4.255,    6.354949e-01
 156,     7.4996,     14.700,    2.840678e-01
 157,     7.4871,     10.676,    1.097246e-01
 158,     7.4736,      8.358,    4.198561e-02
 159,     7.4315,      8.425,    8.428190e-01
 160,     7.4291,      8.925,    8.057396e-01
 161,     7.4204,      8.025,    1.045971e+00
 162,     7.4183,      6.897,    2.076287e+00
