index,   freq_ppm,   decay_hz, amplitude
   1,     9.4178,     14.700,    7.223174e-02
   2,     9.4285,      6.562,    4.445160e-02
   3,     9.4391,     14.700,    1.234113e-01
   4,     9.4616,     14.700,    9.417977e-02
   5,     9.4699,      8.279,    2.856805e-02
   6,     9.3612,     14.700,    6.818270e-02
   7,     9.3707,      8.765,    3.610776e-02
   8,     9.3816,      8.242,    4.891564e-02
   9,     9.3935,      2.431,    9.682420e-03
  10,     9.4044,     14.700,    1.012160e-01
  11,     9.2962,      8.731,    4.788439e-02
  12,     9.3066,     14.700,    1.081083e-01
  13,     9.3173,     14.386,    3.673169e-02
  14,     9.3234,     14.700,    7.979638e-02
  15,     9.3398,     14.700,    7.892405e-02
  16,     9.3513,     11.203,    7.132447e-02
  17,     9.2396,     14.676,    9.033909e-02
  18,     9.2494,     14.700,    8.798499e-02
  19,     9.2570,      7.458,    3.056362e-02
  20,     9.2741,     11.275,    8.036618e-02
  21,     9.2829,     10.101,    5.410860e-02
  22,     9.1771,     14.700,    7.695086e-02
  23,     9.1857,     14.700,    8.695398e-02
  24,     9.2066,     14.700,    1.100294e-01
  25,     9.2132,      6.213,    2.353515e-02
  26,     9.2245,      7.964,    5.401561e-02
  27,     9.0791,     14.700,    9.156515e-02
  28,     9.0927,     14.700,    8.577738e-02
  29,     9.1035,     14.700,    1.205060e-01
  30,     9.1115,      6.314,    3.729301e-02
  31,     9.1320,     14.700,    1.107476e-01
  32,     9.1494,     14.700,    7.962159e-02
  33,     9.1636,     14.700,    1.036475e-01
  34,     8.9843,     14.700,    7.093503e-02
  35,     8.9996,     14.700,    7.712632e-02
  36,     9.0145,     13.416,    8.176394e-02
  37,     9.0300,     14.700,    7.840232e-02
  38,     9.0495,     14.700,    8.499331e-02
  39,     9.0638,     14.700,    1.302174e-01
  40,     8.9237,      6.194,    3.936530e-02
  41,     8.9355,     13.268,    3.398397e-02
  42,     8.9458,      5.571,    3.190649e-02
  43,     8.9527,     14.700,    1.237412e-01
  44,     8.9670,     14.700,    7.360323e-02
  45,     8.8532,     14.700,    1.243729e-01
  46,     8.8763,     14.700,    1.206190e-01
  47,     8.8904,     14.263,    5.443592e-02
  48,     8.8978,     13.477,    7.843272e-02
  49,     8.9087,     14.700,    1.093131e-01
  50,     8.8233,     14.700,    2.843343e-01
  51,     8.8405,     14.700,    2.785568e-02
  52,     8.7433,     13.050,    3.561195e-02
  53,     8.7534,      8.041,    4.178975e-02
  54,     8.7627,     12.226,    4.797782e-02
  55,     8.7735,     10.900,    8.373749e-02
  56,     8.7906,     11.897,    5.147895e-02
  57,     8.7992,     13.787,    8.268254e-02
  58,     8.6792,     11.568,    7.637844e-02
  59,     8.6982,     14.210,    8.926972e-02
  60,     8.7079,      5.926,    1.132930e-02
  61,     8.7157,     14.700,    9.851821e-02
  62,     8.7212,      4.587,    1.099587e-02
  63,     8.7283,      2.466,    1.479070e-02
  64,     8.6393,      8.093,    5.756050e+00
  65,     8.6412,      5.694,    2.991653e+00
  66,     8.6429,      6.507,    2.296770e+00
  67,     8.4775,     14.700,    1.506083e-01
  68,     8.4998,     14.700,    1.131798e-01
  69,     8.5171,     14.700,    1.056849e-01
  70,     8.5324,     14.700,    9.615825e-02
  71,     8.5411,     14.700,    1.364017e-01
  72,     8.5505,     14.700,    8.932495e-02
  73,     8.5648,     14.700,    2.117517e-01
  74,     8.4419,      9.685,    8.420726e-02
  75,     8.4533,     14.700,    2.990164e-01
  76,     8.4683,     12.972,    8.329801e-02
  77,     8.3994,     12.551,    9.028734e-02
  78,     8.4053,      8.349,    2.338737e-02
  79,     8.4138,      7.196,    2.039678e-01
  80,     8.4245,      1.701,    1.007950e-02
  81,     8.4316,     12.445,    6.514511e-02
  82,     8.3178,     12.930,    4.459155e-02
  83,     8.3284,     14.298,    6.006982e-02
  84,     8.3548,      7.433,    2.743714e+00
  85,     8.3563,      5.103,    5.755892e-01
  86,     8.3723,     14.700,    3.621017e-02
  87,     8.3875,      6.199,    2.809594e-02
  88,     8.2050,      9.104,    1.572611e+00
  89,     8.2253,     14.700,    4.990527e-02
  90,     8.2522,     14.700,    4.165191e-02
  91,     8.2739,      7.882,    1.761768e+00
  92,     8.3017,     14.700,    5.522101e-02
  93,     8.1357,      6.747,    3.304942e-02
  94,     8.1655,      8.613,    3.842987e-02
  95,     8.1775,      8.036,    1.020725e+00
  96,     8.1788,      7.148,    4.070617e-01
  97,     8.0210,     14.700,    1.362301e-01
  98,     8.0320,     14.700,    1.732925e-01
  99,     8.0468,     14.700,    7.490318e-02
 100,     8.0686,     14.700,    1.262696e-01
 101,     8.0876,     14.700,    1.438630e-01
 102,     8.1042,     14.700,    1.626348e-01
 103,     8.1265,     14.700,    1.811893e-01
 104,     7.9580,     11.436,    1.193165e-01
 105,     7.9631,     11.908,    1.622299e-01
 106,     7.9742,      9.624,    7.101107e-02
 107,     7.9899,     14.700,    5.501904e-02
 108,     8.0038,     14.700,    8.093075e-02
 109,     7.8626,     14.700,    2.311831e-01
 110,     7.8742,     14.700,    1.260518e-01
 111,     7.8864,     14.700,    1.101793e-01
 112,     7.9093,     14.700,    7.550455e-02
 113,     7.9481,     13.275,    2.259704e-01
 114,     7.8130,      5.896,    4.093698e+00
 115,     7.8147,      4.152,    4.580809e+00
 116,     7.8166,      4.853,    7.106171e+00
 117,     7.8186,      8.078,    7.175314e+00
 118,     7.8268,      8.492,    8.355700e+00
 119,     7.8290,      6.125,    7.428500e+00
 120,     7.8309,      6.797,    5.907301e+00
 121,     7.6901,      8.293,    7.813817e-02
 122,     7.7181,      5.436,    8.197845e-01
 123,     7.7199,      4.665,    1.079632e+00
 124,     7.7218,      6.252,    1.252754e+00
 125,     7.7325,      7.346,    1.849140e+00
 126,     7.7347,      6.433,    1.270927e+00
 127,     7.6360,      8.749,    1.146297e+00
 128,     7.6381,      6.232,    1.428560e+00
 129,     7.6403,      6.972,    1.288170e+00
 130,     7.6776,     14.700,    3.516664e-01
 131,     7.6123,      7.200,    2.831150e+00
 132,     7.6148,      8.504,    4.295897e+00
 133,     7.6233,      6.285,    2.284580e+00
 134,     7.6252,      3.660,    2.375461e+00
 135,     7.6269,      3.630,    2.234322e+00
 136,     7.6287,      6.892,    2.578290e+00
 137,     7.5365,      9.113,    7.929747e+00
 138,     7.5387,      6.778,    1.210138e+01
 139,     7.5408,      7.294,    9.001214e+00
 140,     7.5505,      7.855,    6.637967e+00
 141,     7.5526,      7.408,    8.658920e+00
 142,     7.5131,      4.692,    8.426615e-01
 143,     7.5261,     13.042,    1.883460e+01
 144,     7.4290,     10.370,    1.218912e+00
 145,     7.4316,      8.180,    9.546955e-01
 146,     7.3763,      8.017,    7.149457e+00
 147,     7.3784,      5.561,    4.726989e+00
 148,     7.3804,      5.978,    3.345462e+00
 149,     7.4058,      9.273,    3.924700e+00
 150,     7.4181,     10.420,    5.782877e+00
 151,     7.3237,      8.872,    4.289682e+00
 152,     7.3265,      6.452,    2.103717e+00
 153,     7.3668,     12.890,    3.280898e+00
 154,     7.2748,     10.139,    3.586458e+00
 155,     7.2873,      6.832,    1.178915e+00
 156,     7.3081,      8.171,    3.827750e+00
 157,     7.3124,     12.270,    6.359798e+00
 158,     7.1896,      6.865,    1.176292e+00
 159,     7.1914,      5.484,    1.276481e+00
 160,     7.1933,      5.881,    8.522210e-01
 161,     7.2040,      9.222,    2.266870e+00
 162,     7.2620,      9.409,    2.048532e+00
 163,     7.1385,     14.700,    1.205384e-01
 164,     7.1516,     14.700,    1.554770e-01
 165,     7.1785,      8.805,    1.131987e+00
 166,     7.1801,      9.194,    6.703205e-01
 167,     7.0110,     14.700,    1.268944e-01
 168,     7.0414,     14.700,    1.125413e-01
 169,     7.0565,     14.700,    1.086501e-01
 170,     7.0708,     14.700,    8.670258e-02
 171,     7.0996,     14.700,    1.015685e-01
 172,     6.9389,     12.574,    3.744693e-02
 173,     6.9460,     14.700,    9.622036e-02
 174,     6.9668,     14.700,    8.190307e-02
 175,     6.9793,      8.215,    3.004742e-02
 176,     6.9957,      9.034,    4.973860e-02
 177,     6.8640,     14.700,    5.298775e-02
 178,     6.8735,     13.936,    8.051378e-02
 179,     6.8806,      6.751,    5.147873e-02
 180,     6.8899,     14.578,    1.017887e-01
 181,     6.9055,     14.700,    6.707395e-02
 182,     6.9168,     14.349,    8.441827e-02
 183,     6.9294,     14.700,    6.773636e-02
 184,     6.8255,     14.700,    1.814180e-01
 185,     6.8327,      4.344,    2.161314e-02
 186,     6.8380,     13.913,    7.678672e-02
 187,     6.8485,      7.326,    6.699274e-02
 188,     6.8538,     14.700,    8.370063e-02
 189,     6.7726,      6.205,    4.754882e-02
 190,     6.7826,     14.700,    6.815632e-02
 191,     6.7922,     10.288,    6.836551e-02
 192,     6.8062,     11.984,    1.030504e-01
 193,     6.8120,      1.345,    1.073336e-02
 194,     6.6732,     14.700,    7.852049e-02
 195,     6.6904,     14.700,    7.554108e-02
 196,     6.7050,     14.700,    5.537610e-02
 197,     6.7183,     14.680,    7.139003e-02
 198,     6.7414,     14.700,    1.234993e-01
 199,     6.7622,     14.700,    8.611112e-02
 200,     6.5854,     14.700,    8.250269e-02
 201,     6.5978,     14.700,    9.991328e-02
 202,     6.6171,     14.700,    9.750764e-02
 203,     6.6332,     11.076,    4.104822e-02
 204,     6.6428,      5.240,    1.967379e-02
 205,     6.6545,     14.700,    1.225815e-01
 206,     6.5254,     14.700,    7.008266e-02
 207,     6.5409,     14.242,    1.092497e-01
 208,     6.5577,      9.980,    2.708144e-02
 209,     6.5659,      5.258,    2.191661e-02
 210,     6.5732,     11.833,    8.927980e-02
 211,     6.4262,     11.254,    5.551381e-02
 212,     6.4456,     14.700,    7.279755e-02
 213,     6.4652,     14.700,    9.436529e-02
 214,     6.4844,     14.700,    1.273525e-01
 215,     6.4923,     14.700,    1.066429e-01
 216,     6.5054,     14.700,    8.835054e-02
 217,     6.3276,     14.700,    8.267215e-02
 218,     6.3474,     14.700,    1.017898e-01
 219,     6.3615,     14.700,    7.272781e-02
 220,     6.3743,     14.700,    7.130160e-02
 221,     6.3905,     14.700,    1.237072e-01
 222,     6.4065,     14.557,    7.756326e-02
 223,     6.4169,     14.700,    8.543272e-02
 224,     6.2029,     14.700,    1.007556e-01
 225,     6.2242,     14.700,    6.133145e-02
 226,     6.2355,     14.700,    7.647918e-02
 227,     6.2542,     14.700,    7.834106e-02
 228,     6.2817,     14.700,    9.118377e-02
 229,     6.3058,     14.700,    9.236950e-02
 230,     6.3170,     14.633,    5.895725e-02
 231,     6.1111,     14.700,    1.364958e-01
 232,     6.1325,     14.700,    8.795562e-02
 233,     6.1457,     14.700,    1.243900e-01
 234,     6.1586,     14.700,    8.456900e-02
 235,     6.1745,     14.700,    8.845637e-02
 236,     6.1864,     14.700,    1.534251e-01
 237,     6.0722,      7.253,    1.071434e+00
 238,     6.0737,      6.801,    6.260903e-01
 239,     6.0816,      6.127,    5.373853e-01
 240,     6.0830,      4.606,    5.709526e-01
 241,     6.0847,      5.715,    4.044781e-01
 242,     6.0946,      3.978,    1.959809e-02
 243,     5.9993,     14.700,    8.098271e-02
 244,     6.0051,      9.957,    2.694985e-02
 245,     6.0191,     14.394,    5.365122e-02
 246,     6.0355,      7.810,    4.882296e-02
 247,     6.0463,      8.339,    4.773699e-02
 248,     5.9181,     14.700,    5.945031e-02
 249,     5.9303,     13.465,    5.011232e-02
 250,     5.9430,     13.568,    9.540744e-02
 251,     5.9509,      1.889,    8.849962e-03
 252,     5.9682,     14.700,    7.714590e-02
 253,     5.9843,     13.367,    7.933946e-02
 254,     5.7974,      7.934,    1.659665e+00
 255,     5.8356,     14.700,    1.194860e-01
 256,     5.8613,     14.700,    1.289931e-01
 257,     5.8882,     14.700,    9.221111e-02
 258,     5.9014,     14.700,    5.949401e-02
 259,     5.7157,     14.700,    1.065353e-01
 260,     5.7394,     14.700,    6.454989e-02
