index,   freq_ppm,   decay_hz, amplitude
   1,     9.4555,     14.700,    6.043622e-02
   2,     9.4432,     14.566,    6.893656e-02
   3,     9.4251,     14.700,    5.442628e-02
   4,     9.4049,     14.700,    1.192184e-01
   5,     9.3893,     14.700,    9.542753e-02
   6,     9.3719,     14.189,    7.603586e-02
   7,     9.3618,     14.700,    8.724710e-02
   8,     9.3454,     14.700,    1.006316e-01
   9,     9.3291,     14.700,    9.828975e-02
  10,     9.3215,      6.125,    3.103490e-02
  11,     9.3102,     11.266,    3.800056e-02
  12,     9.2995,     11.585,    5.438749e-02
  13,     9.2855,     14.006,    8.188067e-02
  14,     9.2749,      8.438,    5.085891e-02
  15,     9.2641,      9.071,    6.103996e-02
  16,     9.2625,      5.748,    3.413756e-03
  17,     9.2522,     14.700,    6.705101e-02
  18,     9.2305,     14.700,    1.089770e-01
  19,     9.2056,     14.700,    9.346771e-02
  20,     9.1868,     14.700,    6.005717e-02
  21,     9.1771,     14.700,    1.137330e-01
  22,     9.1606,     14.700,    8.200333e-02
  23,     9.1500,     14.700,    1.028524e-01
  24,     9.1390,     14.700,    8.927903e-02
  25,     9.1220,     14.700,    9.744891e-02
  26,     9.1151,      5.367,    1.647982e-02
  27,     9.1086,     14.700,    1.451416e-01
  28,     9.0914,      9.900,    5.652280e-02
  29,     9.0837,     11.764,    6.221629e-02
  30,     9.0706,      6.868,    3.989624e-02
  31,     9.0584,     14.700,    8.479407e-02
  32,     9.0478,     14.700,    8.935077e-02
  33,     9.0353,     14.700,    1.303474e-01
  34,     9.0214,      8.822,    4.594071e-02
  35,     9.0155,      4.692,    2.798037e-02
  36,     9.0103,      6.446,    8.733720e-03
  37,     9.0034,     14.700,    7.051893e-02
  38,     8.9954,      5.694,    3.749318e-02
  39,     8.9850,     14.700,    1.019322e-01
  40,     8.9713,     14.700,    7.049684e-02
  41,     8.9582,     14.700,    4.054487e-02
  42,     8.9474,     14.700,    7.352775e-02
  43,     8.9334,     14.700,    1.365944e-01
  44,     8.9119,     14.700,    1.705429e-01
  45,     8.8930,     14.700,    1.077833e-01
  46,     8.8702,     14.700,    1.206405e-01
  47,     8.8427,     14.700,    1.416405e-01
  48,     8.8260,     14.700,    1.093783e-01
  49,     8.8130,     14.700,    1.336040e-01
  50,     8.7980,     14.580,    3.056673e-01
  51,     8.7895,      2.160,    1.364525e-02
  52,     8.7771,      8.338,    2.975340e-02
  53,     8.7676,     13.514,    8.871541e-02
  54,     8.7574,     14.700,    6.535393e-02
  55,     8.7378,     14.549,    4.457724e-02
  56,     8.7247,     14.700,    6.776481e-02
  57,     8.7119,      9.587,    2.561956e-02
  58,     8.7030,     10.652,    6.168298e-02
  59,     8.6918,      8.187,    4.790921e-02
  60,     8.6865,      9.712,    3.626325e-02
  61,     8.6778,      9.553,    5.295520e-02
  62,     8.6612,     11.118,    6.940095e-02
  63,     8.6406,      8.949,    3.181967e-02
  64,     8.6190,      7.163,    2.072588e+00
  65,     8.6173,      5.157,    2.827560e+00
  66,     8.6155,      6.006,    3.413204e+00
  67,     8.6141,      8.847,    4.379127e+00
  68,     8.6099,      3.989,    6.124907e-02
  69,     8.5660,     14.700,    1.452592e-01
  70,     8.5435,     14.700,    1.997315e-01
  71,     8.5219,     14.700,    1.640181e-01
  72,     8.4995,     14.700,    9.848881e-02
  73,     8.4873,     14.700,    7.268369e-02
  74,     8.4751,     14.611,    1.251270e-01
  75,     8.4596,      9.363,    5.993503e-02
  76,     8.4360,      7.180,    3.348369e-02
  77,     8.4287,     13.570,    4.798140e-01
  78,     8.4107,     14.700,    8.514541e-02
  79,     8.3988,     14.700,    1.264350e-01
  80,     8.3893,      9.740,    1.537925e-02
  81,     8.3780,     12.426,    8.324281e-02
  82,     8.3692,      6.869,    4.403749e-02
  83,     8.3448,      6.829,    8.892426e-01
  84,     8.3431,      7.783,    2.739047e+00
  85,     8.3099,     11.408,    6.506588e-02
  86,     8.2929,     14.700,    7.381418e-02
  87,     8.2827,     14.639,    9.430137e-02
  88,     8.2644,      7.899,    6.803253e-01
  89,     8.2629,      7.214,    1.110333e+00
  90,     8.2494,     10.657,    4.214448e-02
  91,     8.2354,     11.630,    6.029306e-02
  92,     8.2045,      8.789,    7.187685e-01
  93,     8.2030,      8.363,    5.487338e-01
  94,     8.2004,      5.351,    1.424590e-02
  95,     8.1959,      8.972,    4.689933e-02
  96,     8.1776,      8.860,    1.339573e+00
  97,     8.1527,     14.700,    6.464635e-02
  98,     8.1397,     14.700,    3.669139e-02
  99,     8.1185,     13.991,    5.329195e-02
 100,     8.0962,     14.700,    7.724760e-02
 101,     8.0870,     14.700,    9.338722e-02
 102,     8.0762,     11.766,    8.395799e-02
 103,     8.0694,      5.753,    2.801958e-02
 104,     8.0651,      6.474,    5.526586e-03
 105,     8.0635,      8.772,    3.654778e-02
 106,     8.0514,      8.486,    4.608352e-02
 107,     8.0434,      7.893,    5.055319e-02
 108,     8.0343,     11.112,    6.802391e-02
 109,     8.0247,     14.700,    1.139085e-01
 110,     8.0156,     14.700,    1.345567e-01
 111,     8.0037,     14.700,    1.287140e-01
 112,     7.9894,     11.520,    3.681052e-02
 113,     7.9618,     14.700,    2.446234e-01
 114,     7.9478,     12.386,    2.435477e-01
 115,     7.9346,     14.700,    7.304525e-02
 116,     7.9225,      9.659,    5.013711e-02
 117,     7.8286,     11.166,    2.590934e+01
 118,     7.8166,      9.421,    1.873110e+01
 119,     7.8139,      6.959,    7.690520e+00
 120,     7.7688,     13.725,    9.530527e-02
