index,   freq_ppm,   decay_hz, amplitude
   1,     9.3511,     14.700,    1.578048e-01
   2,     9.3621,     13.866,    5.660599e-02
   3,     9.3824,     14.700,    7.631780e-02
   4,     9.4073,     14.700,    1.317037e-01
   5,     9.4214,     13.973,    4.914335e-02
   6,     9.4421,     13.536,    5.555281e-02
   7,     9.4558,     14.700,    1.182988e-01
   8,     9.2475,     14.700,    1.335647e-01
   9,     9.2719,     14.700,    6.076217e-02
  10,     9.2925,     14.700,    9.220210e-02
  11,     9.3043,     14.386,    5.959778e-02
  12,     9.3174,      9.473,    7.610502e-02
  13,     9.3317,      8.806,    5.955516e-02
  14,     9.1947,     14.420,    1.384394e-01
  15,     9.2010,      4.933,    9.662915e-03
  16,     9.2162,     14.700,    1.072901e-01
  17,     9.2219,      4.119,    1.245846e-02
  18,     9.2355,      9.296,    3.491351e-02
  19,     9.0936,     14.700,    7.488243e-02
  20,     9.1129,     14.700,    1.107431e-01
  21,     9.1237,     14.700,    1.210513e-01
  22,     9.1488,     14.251,    6.187084e-02
  23,     9.1683,     14.310,    1.160400e-01
  24,     9.1798,     14.700,    6.616678e-02
  25,     9.0575,     12.621,    7.843125e-02
  26,     9.0717,      6.025,    2.946896e-02
  27,     9.0802,     14.246,    1.167066e-01
  28,     8.9709,     14.700,    1.518864e-01
  29,     8.9807,     12.781,    5.401269e-02
  30,     8.9979,     14.700,    1.029803e-01
  31,     9.0112,     14.700,    8.349472e-02
  32,     9.0193,      5.304,    2.400695e-02
  33,     9.0287,     14.700,    1.409817e-01
  34,     9.0429,     14.700,    1.259824e-01
  35,     8.9225,      6.961,    4.855140e-02
  36,     8.9288,      3.842,    1.563660e-02
  37,     8.9358,     11.352,    6.145511e-02
  38,     8.9476,     14.615,    3.647821e-02
  39,     8.9581,      8.338,    4.687120e-02
  40,     8.8612,     13.457,    1.121986e-01
  41,     8.8802,     13.018,    6.401392e-02
  42,     8.8866,      8.753,    2.090408e-02
  43,     8.8962,     14.700,    7.817689e-02
  44,     8.9065,     13.466,    7.868432e-02
  45,     8.7859,      7.677,    1.856944e-02
  46,     8.7936,     12.411,    4.228808e-02
  47,     8.8134,     14.700,    2.461971e-01
  48,     8.8265,     14.700,    8.601829e-02
  49,     8.8327,      2.135,    5.871697e-03
  50,     8.8412,      8.540,    4.486040e-02
  51,     8.7262,      5.065,    2.013576e-02
  52,     8.7373,      8.940,    6.093267e-02
  53,     8.7458,     14.700,    7.540110e-02
  54,     8.7668,     14.700,    9.330196e-02
  55,     8.7746,     14.700,    6.370001e-02
  56,     8.6289,      8.766,    4.496369e+00
  57,     8.6305,      5.916,    2.852354e+00
  58,     8.6321,      5.208,    2.276592e+00
  59,     8.6338,      7.340,    1.418095e+00
  60,     8.6687,     14.700,    8.442938e-02
  61,     8.6881,     14.700,    1.249351e-01
  62,     8.7165,     14.700,    1.174043e-01
  63,     8.5686,      3.715,    1.538555e-02
  64,     8.5732,      5.296,    2.794774e-02
  65,     8.5914,     11.865,    6.501733e-02
  66,     8.6052,     12.923,    7.134145e-02
  67,     8.4967,     14.700,    1.240225e-01
  68,     8.5091,     14.700,    6.434683e-02
  69,     8.5244,     13.906,    6.369638e-02
  70,     8.5357,     14.456,    1.004173e-01
  71,     8.5459,     14.609,    1.258296e-01
  72,     8.5564,     14.700,    8.971637e-02
  73,     8.4440,     14.700,    2.449231e-01
  74,     8.4568,     13.304,    7.758355e-02
  75,     8.4641,      6.987,    3.379900e-02
  76,     8.4705,      5.545,    1.323397e-02
  77,     8.4829,     14.700,    9.114652e-02
  78,     8.4079,      7.899,    2.465609e-02
  79,     8.4143,      5.755,    1.132586e-02
  80,     8.4171,     14.700,    3.651139e-02
  81,     8.4213,     10.085,    1.277560e-01
  82,     8.4222,      5.773,    5.973907e-02
  83,     8.4359,      7.403,    4.218930e-02
  84,     8.3026,      6.851,    2.639844e-02
  85,     8.3210,      0.000,    9.671524e-04
  86,     8.3483,      7.312,    2.186776e+00
  87,     8.3498,      6.401,    1.122323e+00
  88,     8.3522,      0.000,    1.352219e-02
  89,     8.3785,     14.700,    1.123078e-01
  90,     8.2310,      7.742,    3.054239e-02
  91,     8.2390,     13.425,    4.848043e-02
  92,     8.2665,      0.000,    6.201136e-03
  93,     8.2682,      8.500,    1.772419e+00
  94,     8.2909,     13.186,    6.532195e-02
  95,     8.1278,     14.700,    9.642986e-02
  96,     8.1408,     14.700,    8.078672e-02
  97,     8.1535,     12.918,    4.249509e-02
  98,     8.1669,     12.755,    1.148052e-01
  99,     8.1778,      8.891,    1.444435e+00
 100,     8.2045,      9.727,    1.557526e+00
 101,     8.2198,     14.700,    4.114561e-02
 102,     8.0449,     10.188,    3.196920e-02
 103,     8.0557,     14.700,    9.029331e-02
 104,     8.0754,     14.700,    1.387534e-01
 105,     8.0890,     12.229,    6.192736e-02
 106,     8.0973,     14.700,    8.914539e-02
 107,     8.1102,     14.700,    8.959325e-02
 108,     7.9937,     14.148,    6.806860e-02
 109,     8.0018,      8.431,    5.757652e-02
 110,     8.0143,     12.911,    4.423367e-02
 111,     8.0244,      9.453,    8.345567e-02
 112,     8.0358,     12.688,    6.748032e-02
 113,     7.9335,     12.312,    3.628990e-02
 114,     7.9455,     13.769,    2.073613e-01
 115,     7.9502,     13.118,    2.027485e-01
 116,     7.9604,     12.700,    2.255045e-01
 117,     7.9684,     14.700,    8.295408e-02
 118,     7.9884,     13.917,    5.759954e-02
 119,     7.9066,      9.589,    7.036716e-02
 120,     7.9112,      8.819,    4.973113e-02
 121,     7.9190,      8.082,    4.081815e-02
 122,     7.9288,      9.280,    2.194902e-02
 123,     7.8638,     11.604,    1.443382e-01
 124,     7.8698,     14.700,    1.269684e-01
 125,     7.8791,     14.557,    1.160432e-01
 126,     7.8890,     14.700,    1.101278e-01
 127,     7.8977,     14.564,    1.277619e-01
 128,     7.8129,      6.481,    4.616058e+00
 129,     7.8147,      4.669,    5.084783e+00
 130,     7.8166,      5.237,    7.388412e+00
 131,     7.8186,      8.423,    6.946553e+00
 132,     7.8268,      8.896,    9.208093e+00
 133,     7.8290,      6.392,    7.843647e+00
 134,     7.8310,      6.941,    5.451600e+00
 135,     7.7318,      8.010,    1.537975e+00
 136,     7.7335,      5.467,    9.299886e-01
