index,   freq_ppm,   decay_hz, amplitude
   1,     9.4474,     14.618,    8.172148e-02
   2,     9.4623,     14.700,    1.006450e-01
   3,     9.4742,     14.700,    8.148838e-02
   4,     9.4822,      9.123,    5.703134e-02
   5,     9.4949,      7.718,    4.664527e-02
   6,     9.3665,     14.700,    8.853729e-02
   7,     9.3759,     14.078,    9.673221e-02
   8,     9.3868,     10.212,    5.352767e-02
   9,     9.3979,     14.700,    7.489369e-02
  10,     9.4166,      9.836,    5.746708e-02
  11,     9.4280,     14.440,    8.092666e-02
  12,     9.2903,     14.700,    1.003035e-01
  13,     9.3028,     14.394,    8.562940e-02
  14,     9.3201,     14.700,    8.487860e-02
  15,     9.3341,     14.700,    9.810907e-02
  16,     9.3493,     14.700,    6.601039e-02
  17,     9.1345,     14.700,    9.270318e-02
  18,     9.1652,     14.700,    8.462365e-02
  19,     9.1863,     14.531,    1.212576e-01
  20,     9.2051,     14.700,    9.100830e-02
  21,     9.2392,     14.700,    9.530281e-02
  22,     9.2650,     14.700,    7.798362e-02
  23,     9.2746,     14.677,    9.853731e-02
  24,     9.0771,     14.700,    6.054310e-02
  25,     9.0880,     10.015,    7.618490e-02
  26,     9.0974,     14.700,    6.006697e-02
  27,     9.1106,      6.319,    4.268042e-02
  28,     9.1239,     13.919,    8.969763e-02
  29,     8.9895,      9.792,    5.819916e-02
  30,     8.9993,     10.202,    4.182227e-02
  31,     9.0184,     14.700,    1.011454e-01
  32,     9.0448,     14.700,    9.196387e-02
  33,     9.0603,     14.700,    8.350990e-02
  34,     9.0724,     14.202,    4.933469e-02
  35,     8.9609,      6.882,    3.484395e-02
  36,     8.9654,      8.951,    5.510624e-02
  37,     8.9730,      3.470,    1.059164e-02
  38,     8.9804,     14.700,    1.191197e-01
  39,     8.8322,     14.700,    1.180022e-01
  40,     8.8525,     14.700,    9.420315e-02
  41,     8.8679,     14.700,    1.057207e-01
  42,     8.8875,     14.700,    1.221868e-01
  43,     8.9208,     14.700,    1.268226e-01
  44,     8.9412,     14.645,    1.269127e-01
  45,     8.7729,      6.953,    2.429405e-02
  46,     8.7814,      6.187,    3.415063e-02
  47,     8.7881,      8.693,    1.171364e-01
  48,     8.7904,      7.993,    1.088860e-01
  49,     8.8065,      7.428,    6.732686e-02
  50,     8.7321,     12.322,    8.095809e-02
  51,     8.7390,     14.521,    5.980134e-02
  52,     8.7479,     13.763,    1.060029e-01
  53,     8.7627,     12.278,    7.964208e-02
  54,     8.5183,     14.700,    1.626221e-01
  55,     8.5416,     14.700,    1.287042e-01
  56,     8.6057,      8.889,    7.137970e+00
  57,     8.6076,      6.028,    3.475151e+00
  58,     8.6093,      6.584,    2.492725e+00
